word,word_vec_idf
anise,"[ 0.36502115 -0.20699758  0.39290416  0.32289875  0.00155094  0.67177397
  0.0429446   0.49124936  0.55779919 -0.22022413 -0.20862607  0.40458166
 -0.06570381 -0.07998094 -0.04880122  0.19112968 -0.38573481  0.10972679
 -0.05068591  0.26957547  0.3997359  -0.20938074 -0.03826963  0.55839498
 -0.20157588 -0.79160736  0.0706866  -0.03066138 -0.26510704 -0.12080254
 -0.06431562  0.09932825  0.26270402 -0.57346849 -1.30521873  0.2665568
  0.53410658 -0.05601029 -0.67723538  0.38200119 -0.88274349 -0.37562623
 -0.84703576  0.68492109  0.94091253 -0.89523523  0.81263877 -1.42785233
  0.08067206  0.09609112  0.92232385 -0.19254171  0.55265553 -0.17230071
 -0.77822192 -0.07304792  0.23368901  0.56051997  0.16506384  0.53061127
 -0.67650058 -0.33312649  0.47979032 -0.01429203  0.30836145 -0.53275612
  0.87271434  0.27998195  0.63733726  0.2572426  -0.17247746  0.22300449
  0.45411174 -0.34275844 -0.90441041 -0.45722971  0.63952183 -0.7149688
 -0.29102394 -0.51452492  1.09855877 -0.17752579  0.1567744   0.35368127
  0.5790292   0.41713299  0.68110802  0.43276257  0.3129689  -0.46269112
  0.39967632 -0.57539488  1.05095508 -0.64589679 -0.78193568 -0.30931472
 -0.34569767  1.00102782  0.23907098  0.23331167]"
apple,"[ 0.1477278   0.02277883  0.11254223 -0.01059326  0.25194437 -0.05238305
 -1.06374262  0.74726975 -0.39561637 -0.42927975  0.05947478  0.95654911
 -0.11993401 -0.26787421 -0.11868491 -0.09195143 -0.06624117 -0.19640063
 -0.69327686  0.4159796   0.36163271  0.26473881 -0.11803929 -0.12425109
 -0.31996226 -0.36230699  0.47322589  0.09503795 -0.1416576   0.01809091
  0.3916887   0.18633701 -0.27448214  0.32616563 -0.31117978  0.05304553
  0.86621258 -0.50557443 -0.19368666  0.20688567  0.56030903  0.05469583
 -0.0825031  -0.31032007  0.13368256 -0.33252071  0.04275435  0.44065821
  0.17731853  0.05963324 -0.1414452  -0.64590876 -0.08983757  0.0288524
 -0.40283116  0.03143152 -0.16807585  0.60262004 -0.04959997  0.10042544
  0.00340747 -0.7314242   0.62578153  0.09081527  0.04795978  0.21607272
 -0.41294535 -0.07445052  0.07496972 -0.42386867 -0.31362404  0.4387028
  0.70866728  0.25551804 -0.35627219 -0.16359358  0.26222712 -0.08227047
 -0.0650713  -0.43120145  0.45453151 -0.13723433 -0.18684272  0.08825638
  0.07229451  0.25536633  0.28321406  0.28368605 -0.47501273  0.37510143
 -0.11634685  0.54316549  1.02357245 -0.03517882 -0.0043105  -0.10656137
 -0.55923018 -0.12844173 -0.00908675  0.02385936]"
apple_sauce,"[ 0.37367     0.27397092  0.34347126  0.2403709  -0.81477596  0.04080958
 -1.33157537  0.64160511 -0.85511958 -0.29905789 -1.68674471  1.47047774
 -1.49377559  2.14772758  0.65381436  0.57892701 -1.34779539  0.4749026
  0.26913441  1.08074501 -0.15996481 -0.08910789 -0.55737895 -0.52303183
  0.31250577  0.04154292  0.34687255  0.84049207  0.38652805 -1.43322084
  0.75196024  1.05219777 -1.03719671  0.01756166 -0.39372384  0.16919155
  0.65001986  0.44234459  0.42586898  0.77512047  1.39211046  0.73957404
  0.49055246 -0.33090812 -0.00378664 -0.57029599  0.96101175  0.73037286
  0.30133853 -0.0602913   0.08533501 -1.09696503 -0.4098259   0.26862323
 -0.22004181 -0.34820948 -0.2749343   1.50378285 -0.3577842   0.966733
  0.28912927 -0.14241573 -0.11105505  1.35400815  0.50956429 -1.49118039
 -0.80248807 -1.34649779 -0.01464383 -2.18508278  0.54216162  0.1850852
  0.64115291 -0.69779519 -0.53471024  0.99791476  0.44226594 -1.09330815
 -0.24139325  1.24272897 -1.15917128 -0.22230278 -0.13381027 -1.26126894
  0.56164531  0.08940476 -0.4111235   0.14774179 -1.61781453  0.98112458
  0.60704171  0.29831079  1.81359511  1.20692695  0.28134366 -1.074257
 -0.79275605  0.85785241 -1.02685521  0.29907755]"
apricot,"[ 0.35160683 -0.11690322  0.22084703 -0.34039229 -0.30637778 -0.24516581
 -0.97515309  0.9036979   0.15212925 -0.49181511 -0.24578393  1.09994358
  0.57482039  0.24866262  0.25832303 -0.00715929  0.14943776  0.32087722
 -0.5036831   0.09789678  0.96284358  0.02704736 -0.04237508 -0.00175913
 -0.46036141 -0.36718357  0.27631928  0.42202003 -0.46956263  0.67006453
  0.54315476 -0.14893973  0.15746808 -0.22505027 -0.50340053 -0.13197133
  0.37786829 -0.08918299 -0.05041776 -0.23836644  1.31243709  0.14004403
 -0.01327449 -0.15019894 -0.12550222 -0.10958463  0.42408633 -0.09767072
  0.04471689  0.26234967 -0.0539393  -0.9735283  -0.16571916  0.18654995
 -0.12828731 -0.06643778 -0.43457679  1.25722975 -0.30703123  0.02148247
  0.65844379 -1.09674699  0.52929111  0.38480894  0.1042564  -0.1097842
 -0.12341119  0.35151853  0.1628281  -0.28128193 -0.37324119  0.01145561
  1.17659101  0.35957181 -0.2292182   0.07611937  0.22540349  0.23713019
 -0.34818066 -0.25056998  0.1534591   0.28220029 -0.17018555 -0.21984037
  0.04205542  0.26980248  0.72458311  0.74051306 -0.72152781  0.35483874
 -0.51035884  0.130396    0.66204658 -0.36232687 -0.04368727 -0.64966643
 -0.02279113  0.11707806  0.65551212  0.73392562]"
ash,"[ 0.97337804  0.44351035  0.0332638   0.79656009 -0.4880184   0.22725064
  0.09484234  0.47286138 -0.09074534  1.08649046 -0.08698958  0.25157724
 -1.30321074  0.8657297   0.98386654 -1.1815568   1.14324555 -0.66188451
 -0.03060713  0.14304125  0.51527592  0.19235181 -1.42842364  0.2553665
 -0.93119379  0.83428516  1.26850032  0.18083959 -0.29771823  0.37438261
  0.6621776  -0.49302189  0.23392894 -0.08568532 -0.02904328 -0.76247772
  0.96898167 -0.62953976  0.80742541  0.37861151 -0.06477742 -0.22448721
 -0.37274967 -0.21133996  0.87852105 -0.61321037 -1.03599497 -1.32862596
 -0.16020595 -1.9551092  -0.62235902 -1.75928216 -0.33887666  0.68371983
 -0.972101    0.12929525  0.61358721 -0.40170293 -0.17027574  0.13961626
  0.73522021 -0.36479433  1.51051022 -0.02944524 -0.24154933  0.59083074
  1.02864674  0.29198201 -1.30833984 -0.8563089  -1.62404133  0.85815119
  0.32273569 -0.26319623  0.58586912 -0.89727891 -0.55869534 -0.13054717
  0.69125647 -1.16520648 -0.05940547  0.2440406   0.41037007 -0.17651859
  0.66268004 -0.846595    0.77217068  0.73808832  0.52034222  0.65265212
  1.87268766  0.5554504   1.02071233 -1.1478094  -1.20533909 -0.55094935
  0.52739735  0.36219838 -0.5405446   0.72795572]"
asian_spice,"[ 9.35933675e-02  1.91253461e-01  1.01376619e+00  3.81883528e-02
  6.19194768e-01  1.02152194e+00  3.08744802e-01  7.76766645e-01
  8.29186705e-01 -1.62667202e-01 -7.66498987e-01 -2.38961399e-01
  4.72073901e-01  1.83479377e-01  9.83916640e-01 -2.81627184e-01
 -2.79977025e-01 -4.47064820e-01  5.14391319e-01  6.57331783e-01
 -8.24419578e-03  4.19745516e-02 -3.08909818e-01 -7.18552692e-01
 -3.55554320e-02 -9.87546991e-01 -2.98128777e-01 -2.97248692e-02
  3.84542118e-02  7.50749134e-01 -3.18352396e-01 -9.28948001e-01
 -5.31076263e-01 -8.54030770e-01 -1.68723286e+00  2.86192625e-01
 -9.06432494e-02 -1.36739532e-01 -2.90941417e-01 -4.87677074e-01
 -7.01849413e-07  7.08670072e-03 -8.87547338e-01  4.69910359e-01
  3.68352222e-01 -2.03501310e-01  1.42870791e+00 -5.47632861e-01
 -5.79810967e-01  1.13510790e-01 -7.42920044e-01 -1.60399149e+00
 -9.57404081e-01  1.68109060e-01 -9.25647682e-03  3.32067053e-01
 -8.30415157e-02  6.15234386e-01 -4.19910532e-01  7.64243769e-01
  4.19103788e-01  2.90959752e-01  1.19691553e+00 -1.57837735e-01
 -1.25027068e-01  2.68664266e-01  1.17579349e+00  2.96478618e-01
  1.21409553e+00  7.70936082e-01  2.95066815e-01 -3.85330528e-01
  1.51585465e+00  5.03188571e-01 -1.28090864e+00 -5.06635570e-02
  4.64794865e-01 -4.74787496e-01  1.13745479e+00  3.19232481e-01
  6.28013953e-01 -5.73045314e-01 -1.01695650e-01  1.16013532e+00
  1.35632092e+00  7.78966857e-01 -2.79646993e-01  1.44553953e-01
  9.53847071e-02 -3.23687911e-01 -7.56744712e-01 -9.17195200e-01
  1.13804152e+00 -5.99796229e-03 -1.23142220e+00 -4.22312431e-02
 -4.80893085e-01  6.39180031e-01 -4.62576317e-01 -1.46229782e-01]"
asparagus,"[-0.07159906  0.43601422  0.79353461  0.45727967 -1.42724832  0.07531125
 -0.82128756  0.21283161  0.20466992 -0.27892998 -0.94847783  0.91507448
 -0.09044981 -0.24993749  0.36524743 -0.56173957  0.811339   -0.46890243
 -0.32566246 -0.76090398 -0.32411705 -0.26869165  0.53521007 -0.00850683
 -0.45512254  0.16901286  0.73564622 -0.07457236  0.71953213  0.91328761
 -0.5301392   0.19494673 -0.24431929 -0.68509851 -0.53670719 -0.23668884
  0.73733651 -1.24450387 -0.88266922  0.52577665  1.07138603  0.90341954
 -0.19671751  0.3615127   1.02111198 -2.6701746  -1.4170422   0.23314728
 -1.25786521  0.55536476 -0.35161243  1.48663383 -0.27160539  1.25870231
  0.19617018 -1.12467039  0.46296227 -0.43652936  0.39275891  0.42163871
 -0.12011842 -0.84393744  0.56370353  1.27024457  1.08733914  0.26226855
 -0.21020763  0.05385907  0.11315925 -1.19633867  0.22611245  0.60399681
  0.41268823  0.57484334 -0.4755187   0.95155254  0.95879664 -0.69591637
  0.16965678 -1.01513963  0.44948824 -0.49367724  0.51668128  1.00076412
 -0.33984479  0.24637983 -0.83511574 -0.47262106 -0.38673826 -0.46434669
 -0.36168977 -0.24005332  0.06273067 -0.39755611  0.23221359  0.25082288
 -1.70075328  0.08384158 -0.47168738  0.37629066]"
asphalt,"[ 0.39758657 -0.48838071 -0.16550978  0.30967114 -0.19527168  0.27067438
 -1.11960241 -0.33609759  0.37582362 -0.33546427  0.80703338 -0.74272327
 -0.03021865  0.60988096 -0.94359882  0.24749126 -0.34857194  0.50947197
  0.0368243   0.03213587 -0.77525256  0.19663426  0.79029855  0.27330359
 -1.37592168  0.10980122 -0.01804099 -1.39895126 -0.50162272 -0.7196745
 -0.60548614 -0.69104105  0.65895316 -0.05125618 -0.85796715  0.30093909
 -0.0772086   0.87412624  1.03470001  0.77688382  0.55176964  0.37920129
 -0.09901762 -0.48843828  0.79398329 -0.67263657 -1.4369117  -0.94398264
 -0.41798695 -0.05742043  0.74335659 -1.1006222  -1.2896567   0.4780174
 -1.65546245 -0.61936147  0.31717494  0.46358552 -0.04164325  1.28748808
  1.08657415 -0.92112578  0.76047524 -0.09447887 -0.12558416  0.4742559
  1.29829279  0.43677525 -0.43481774 -1.08929932  0.01224694  0.45241618
  0.94427051  0.27685398  0.88003717 -0.22975848  0.2290484  -0.93755355
  0.73305085 -0.39584016  0.95883673 -0.7534896  -0.66513277  1.11670452
  0.02112005  0.08835492  0.51037396  0.36799356  0.44299324  0.19306468
  0.63678719 -0.27119254  2.0108665  -1.14247847 -1.15424274  0.93519302
 -0.52117867  0.83054275 -0.51150625 -0.40169352]"
assertive,"[ 0.3414182   0.17309863 -0.13297631  0.92646784 -0.63962441  0.37084447
  0.77850101  0.66803137  0.05397656 -0.14560069 -1.21392953  0.57793118
 -0.13303646 -0.35237995 -0.32190095  0.26077587 -0.33309664 -0.82340071
 -0.16491408 -0.54599842  0.40526702  0.46299998  1.0277637   0.20569979
  1.62456045 -1.14543535  0.10453092 -0.92935866 -1.32770775  0.0260425
 -1.11589211 -0.16302586 -0.00189859 -0.66256721  0.39818199  1.06649742
  0.2869604  -0.02252337  0.03851482  0.33800937  0.51393198 -0.18833812
 -0.23310415  0.64167974  1.3137215  -0.08027806  0.40282736 -0.0147895
 -0.51633822 -0.63763592 -0.85374603 -0.13225945 -0.83720315  0.83865692
  0.61980638 -0.16798538 -1.12419697  0.31060501 -0.40287749  1.29794728
 -0.86818345  1.14199309  1.77209282 -0.34527821  0.24983083 -0.06827027
  0.09290412  1.05089031 -0.49548417  0.16117272 -0.34081664  0.51851051
 -0.23948736 -0.98151049  0.22030431 -1.04582719 -0.42354773  0.50225171
  0.36573122  0.26085941  0.44366654  0.36065138 -0.54272327  0.20986057
  0.10095665  1.16672385  0.51978047  0.57029473  0.30544163 -0.43469328
  0.1005105  -0.6644053   0.22762328  0.06430667 -0.00205282 -1.10202283
 -0.86833384  1.21702088  0.44861269 -0.17642391]"
astringent,"[ 0.86240783  0.7472142  -0.2410333  -0.27740858 -0.31748411  0.21114912
  0.08377761 -0.12552139  0.15602959 -0.1273668  -0.93040766  0.73100211
 -1.77784204  0.16174458 -0.28811734  0.47403895  0.10696999 -0.34462446
  0.18513766 -1.14828307 -0.28877586  0.97857355 -0.45636871 -0.67044981
 -0.21502183  0.27041575  0.00198528 -0.37221951 -0.51433398  0.09554313
  0.48586091 -0.36290618  0.19043716 -0.97112603  0.21658973  0.12705479
  0.49374745  0.21395566  0.1292232   0.17965001 -0.37149827  1.03260339
 -0.36663778  0.57356925  0.59868701 -0.01153708  0.8983441  -0.5332115
 -0.42839737 -0.14241708  0.24280503  0.35705791 -0.42065195 -0.40638405
  0.02446708 -0.50157127 -0.56811296  0.07737117  0.39484431  0.00389968
  0.43628391  0.48956116  0.37756605 -0.77198702  0.53476372 -0.31903633
 -0.45823451  0.05003013  0.30379634  0.24087651 -0.83810537  0.02513344
  0.56530642 -0.07450191  0.52187558 -0.85199697  0.82995229 -0.78509467
 -0.64923612 -0.17601248  0.26591587  0.29614499  0.41960145  0.76284616
 -0.55925432 -0.00831301 -0.10720674  1.01885291  0.1255449  -0.31121251
  0.0928777  -0.92830667  0.76968221 -0.63249094 -0.27527624 -0.5140988
  0.31502251  0.37447728  0.14153435 -0.6834477 ]"
