word,word_vec_idf
blue_fruit,"[ 1.90652923  0.71460729  0.34840846 -0.6607758  -1.19527613 -0.2361943
 -0.75877081  0.88504627  0.30052244 -0.33403805 -1.09931994  0.61437614
 -0.74650499  0.24975904  1.19981416  1.22825902 -0.43893875  1.02621829
 -2.54517394 -1.07551175  0.79043833  0.60493837 -0.34636964 -0.33923376
  0.47899175  0.16799897  0.34173296 -0.07498263  0.99422193  0.09963923
 -0.13155338 -0.6150996  -0.2553691   0.56074196  0.24623386 -0.78645934
 -1.43970464  0.61763168 -0.84923534  1.05693216 -0.17911385 -1.03621509
 -0.32783279  0.65515259  1.47591019 -0.58136037  0.94686863 -0.96123904
  1.13411146 -1.41070075 -0.81243788 -0.53035692  0.22468811  0.67889501
 -0.27081153 -1.08468646 -1.00724408 -0.68757645 -1.29406037  0.55350743
 -0.07043803 -1.48728813  0.00340681 -1.60501369 -0.22037369  1.15555198
 -0.12586441  1.62010755  0.43463092 -0.13777507 -1.14282578 -0.1679924
 -0.71930973 -2.54869255 -0.80714352 -0.99224887 -0.23499074 -1.02582368
 -0.3896124  -1.54690725 -0.08576537 -0.79777151  1.04302213 -0.14987647
  0.57905847  0.86837396 -1.18810737  0.40398281 -1.70284428 -0.38053635
  2.17364786 -0.16724593  2.34994024  0.26167958 -1.80560752 -1.48097436
  0.04139139  0.88557242 -0.58313612 -0.80507181]"
blueberry,"[ 0.40141021  0.08177983  0.58938624 -0.1380534  -0.09102801  0.05031591
  0.1495127  -0.0579136   0.77897302  0.06504063  0.01796755  0.0064365
 -0.3531297   0.65942227 -0.61256424  0.55846831 -0.25550181  0.68021553
  0.07789312  0.03133213  0.55430547  0.29317651 -0.46514969 -0.10527369
 -0.40253982 -0.83616493 -0.17851448 -0.19197361 -0.69402191 -0.03950091
  0.26077334 -0.58421931  0.23671676  0.09161583 -0.73621507 -0.60289977
  0.08715386  0.21161424 -0.16273127  0.51150568 -0.81804928 -0.5352694
  0.24539805  0.25991567  0.64923483 -1.22517031  0.65661916  0.15811868
 -0.08033643 -0.14918009  0.62229146 -0.34306777 -0.1795395   0.88367145
 -0.3466658  -0.17891612  0.11465785  0.49661152 -0.36007473  0.75558584
 -0.86664357 -0.87950862 -0.1168083   0.12065944 -0.18747398 -0.20619837
  0.62873444  0.35976095 -0.5657062   0.28815601 -0.16615776  0.41473546
  0.05364618 -0.1855892   0.33350789 -0.15379895  0.86053529 -0.52060534
  0.06440679 -0.60856875  0.34379993  0.02261528  0.15930687 -0.03956157
  0.61482346  0.59013932  0.67287304  0.75334754 -0.44481665 -0.30424254
  0.4896874   0.29658627  1.40923454 -0.49891258 -0.56309135 -0.0539746
  0.32898944  0.68488041  0.38919365 -0.09352153]"
bold,"[-3.78520744e-01  1.06583165e-01 -3.52423920e-01 -4.78786609e-01
 -1.58272897e+00 -1.90687021e-01  5.35435405e-01  5.59229567e-01
  1.36836459e+00  1.00667996e+00  3.87731388e-01 -6.18030850e-01
 -4.44430241e-02  5.85409821e-01 -7.11538906e-01  7.97521599e-01
 -4.35219597e-01  3.70411373e-01 -1.70463651e+00 -1.75703039e-01
 -3.95123263e-02 -2.91169803e-03  3.02015670e-01  2.34270718e-01
 -4.98025508e-01  2.82509796e-02 -1.00723060e-02  5.68006376e-01
 -5.87795911e-01 -1.21098272e+00 -5.91383390e-01 -4.40408927e-01
  9.17877346e-01  4.89632476e-01  2.22023232e-01 -2.22607240e-01
 -3.49687425e-01  9.68886291e-01 -1.13661345e+00 -9.38601294e-01
  8.86390961e-01 -1.16531328e-01 -6.64100754e-01  6.82822388e-02
  3.58264002e-01 -7.13708079e-01 -1.08285132e+00 -1.79157030e-01
  1.37724151e+00  5.09505440e-01 -1.54967410e+00  1.61049439e-01
 -1.64623569e-01  6.22536056e-01  7.15009583e-02  7.58393050e-02
  4.42694902e-01 -3.87698016e-01  1.64855504e-01  1.75803154e+00
  4.61299735e-01  2.90185332e-02 -2.09875861e-01  7.13090699e-02
 -9.19862974e-02 -8.08017061e-02  3.12978338e-04 -1.03566346e+00
  1.01265353e-01 -1.11664037e+00 -5.60497699e-02 -5.75932202e-01
 -2.30015801e+00  5.37204115e-01 -1.24517223e+00 -4.61066132e-01
  2.22557182e-01 -1.10849762e+00  1.62924939e-01  4.67974114e-02
  3.21988750e-01  5.98474918e-01 -8.03061334e-01 -5.30045843e-01
  5.54106981e-01  7.72158957e-02  6.06651033e-01  1.39005632e+00
  6.58727879e-01 -1.41063009e-01 -8.59760187e-01  2.06555358e-01
  6.51953384e-01 -1.11904314e-01 -7.21400302e-01 -7.36551143e-01
  1.48640099e-01 -5.43444660e-01 -7.08568807e-01 -4.19634921e-01]"
bone_dry,"[ 0.66167162  0.18445454 -0.26218087  0.16749244 -0.11405516  0.01975586
  0.46268289 -0.60283641 -0.10621435 -0.31356606 -0.1356885   0.15821649
 -0.74131034 -0.58145085 -0.44259444  0.96826991 -0.28102211  0.37990118
  0.00291748 -0.40002289 -0.59841296 -0.04759532 -0.52002144  0.42711236
  0.65545218  0.51832523  0.73201445  0.9155211  -0.77094413  0.57301969
  0.39754509  0.82753436 -0.61585731 -1.02130142 -1.09646681  0.87042187
  0.5478925   0.15778246 -0.44384165  0.64642235  0.57888991  0.20697089
  0.08947508  0.89300474 -0.05494723 -0.02063889 -0.0897977  -0.55274832
 -0.23329541  0.27106103 -0.93970041 -0.009474   -0.36844345  0.09180155
 -0.42310465 -0.74270722  1.09952664  0.29387672  1.20006867 -0.00858748
 -0.21352292  0.05385966  0.79382634  0.24280749  0.37502873 -0.71185948
  1.12513609  0.60291955  0.18681593  0.24786286 -0.24029643 -0.15115893
  0.08730826  0.82987912 -0.78191961  1.03555291  0.81491256  0.62367318
 -0.39761161  0.59625112  0.52885171  0.1740112   0.32066686  0.3055839
 -0.48606398 -0.22464806  0.15188065 -0.19552979  0.5393283   0.65189346
 -0.09014692 -0.32738518  0.86656382  0.16094207 -0.55051996 -1.13064046
 -0.57844091  0.68649948 -0.18438802 -0.05651373]"
botrytis,"[-0.09743591 -0.1671243  -0.82087143 -0.61250471 -0.24947897 -0.45927731
 -2.00427692 -0.13657426  0.57924471 -0.79387298 -0.29270252  0.26260944
  0.3576463  -0.1101904   0.50902271 -0.21980526 -0.20842455  0.34078492
 -0.59208596 -0.53858073  0.68787478 -0.40775322 -0.27215362 -0.39079062
 -0.16794857  0.59214381  0.78045329 -0.55179797  0.49810475  0.33381478
  0.44247378 -0.58968546 -0.02151344 -1.81729784  0.34304082 -1.67182147
 -0.51989729 -0.1902617   0.1430672  -0.70744034  1.22401163  0.82337316
  0.24208947  1.2235055   0.5755138  -0.22052831  0.82234643 -0.11896381
  0.89751405  0.34750923 -0.09077379 -0.34003296  0.41745647  0.03896193
 -0.36435614 -1.58346554 -0.63455754 -0.10537349 -0.89854077 -0.17639372
  1.22764131 -0.31323696  0.49570425  0.29385939  0.37148535 -0.32266545
 -0.60372696 -0.6374931   0.61902657  0.09130595 -0.5807631   0.49541503
  0.21357263  1.34798469  0.71258841 -0.23643526 -0.13010302  0.5608794
 -0.48465614 -0.243926    0.76239166  0.7229424  -0.68303039  0.34324327
 -0.12007441 -0.42458568  1.20499558  0.26566069 -1.18793175  0.65982069
 -1.21453976 -0.18796242  0.9802447  -0.90908275  0.01545289 -0.56988852
  0.93936381  0.38021972 -0.0855028   0.94801142]"
boysenberry,"[-0.13045585 -0.89118166 -0.25833754 -1.00628272 -0.30750085  0.32346512
 -0.97558788 -0.34578194  1.28857587 -0.01116339  0.62941926 -0.1893616
  0.22298415  1.31840529  0.20447886  0.50275468 -0.67611519  0.21423787
 -0.35230023 -0.39803868  0.0367841  -0.28748568  0.11978723 -0.29102101
 -0.22073774 -0.158722    0.84542479 -1.07730253 -0.23033103  0.21598712
  0.03538285  0.27406244  0.01538314  1.00167942  0.57384814 -0.43648549
  0.14281665  0.85376599  0.35303676  0.87567772 -0.95397075 -0.29096578
  0.42304384 -0.02813909  0.49389792 -2.14661372 -0.48360493  0.57147284
 -0.68425384 -0.15491967  0.37485643  0.01772439 -0.58902064  1.07842574
 -0.63912303 -0.31540012 -0.89072133  0.20140385 -0.42843891  0.31823576
 -0.36316403 -0.89274678  0.9242334   0.5119613  -0.12844329 -0.8582404
  0.63144471 -0.35589081 -0.06087412  0.21018696 -0.62161205  0.53794236
 -0.17199977  0.23160154 -0.42204952 -0.72796683  0.56672223 -0.22966815
  0.65829119 -0.02941513  0.6372817   0.34082879  0.03330032 -0.02472896
  1.18761616  1.29308711  1.0087501   0.76376214 -0.65401932 -0.5311847
  0.32138442 -0.51041459  1.26590919  0.04654679 -0.35887375 -0.43547276
  0.45383075  0.14191625  0.46522853  0.17665279]"
bramble,"[-0.69712889  1.05219205 -0.33572112 -0.4747771  -0.2298747   1.06274225
  0.11281462  0.13223823 -0.05798259  0.19450797  0.59784463 -0.39657511
 -1.11656276  0.60110758 -0.0039585   0.49692889  0.64977989 -0.10373638
 -0.27363447 -0.47098845  0.04539849  0.71567332 -0.02644801  0.22293188
 -0.72566156 -0.1435661  -0.17440458  0.22425518 -0.60041873 -0.40114323
  0.73642929 -0.65376794 -0.05411962  0.67158726 -0.014924   -0.71596336
  0.23482351 -0.30967192  0.1020614   0.66150838 -0.24856415 -0.14967869
  0.95000738 -0.01504473 -0.21029701 -1.1281281   0.34048865  0.55916057
 -0.30222152 -0.33586614 -0.45431116  0.0948394  -0.58675061  0.0853261
 -1.43705679  0.01269776  0.88545539 -0.26440757 -0.14445978  1.27956516
  0.60493248 -0.03555707  0.56865937  0.37746873 -0.40043626 -0.92878009
  0.27414204 -0.21187411  0.08303297  0.21236355 -0.58861774  0.40243028
  0.09445691 -0.13620996  1.12743926 -1.27126277  0.79840718  0.13372287
  0.62924144 -0.551402    0.09276562 -0.3805504  -0.23469662 -0.73764384
  1.27490639  0.29942988  0.85849981 -0.2491261  -0.16424956 -0.30564761
 -0.67439702  0.1816012   0.63332013 -1.01329045 -0.88547352  0.07985522
 -0.68237312 -0.18314203 -0.32292311  0.75733029]"
brawny,"[ 0.73563524  0.24434289 -0.04738443 -0.23691331 -0.53090498  0.22086612
 -0.47730203  0.59869328  0.43079177  0.95213936  0.12295341 -0.14207174
 -0.29707698  0.39467229 -1.17327145  0.53141919  0.98659206 -0.74806516
 -0.55512648  0.9346027  -1.33200567 -0.54643795 -1.24359539 -0.28007228
  0.06248298  0.13902011  0.63169199 -0.23558343 -1.32491299 -0.71077539
  0.60117572 -0.48352586  0.0440952   0.64935276 -0.5067012   0.2907113
  1.06039141 -0.04274405  0.04425834  0.12290022  0.2123549   0.93699648
  0.30612015 -0.15159721  1.48212228 -0.52858212  0.79627767  0.71538563
  0.44063287  1.11287726 -0.18518993  0.48242649 -0.36561002  0.26487621
 -1.05601168 -1.55331508 -0.37841231  1.11782441  0.02602128  0.9218536
  0.68967466 -0.33202617 -0.58385185 -0.84711447  0.35958124 -0.53164971
  0.21903975  1.23868371  0.45597079 -0.07153502 -0.42761779 -1.35223754
 -0.99469545 -1.1483584   0.39172882 -0.72639702  0.0667776   0.69309688
 -0.09630798  0.29908067  0.1664617  -0.58335536 -0.53037302  0.24042419
  1.33544562 -0.20684034  0.5886926   0.83236169 -0.17530805 -1.1266016
  0.03211921 -1.05081629 -0.88066285 -1.37913654 -2.0104207   0.01687828
  0.846352    1.09495051 -0.19198117 -0.10349819]"
bread,"[-2.01357797e+00  1.34594698e+00 -8.16611384e-01  9.98313369e-01
 -1.65059302e+00  1.06939427e+00 -9.51307027e-01  2.31336720e+00
 -1.47178608e-01 -5.14288993e-01  6.25652883e-01  1.57707419e+00
 -3.54014129e-01  2.70286464e-02 -6.79630181e-01 -1.90748991e+00
  8.09183315e-01 -3.45100447e-01  2.16175842e-01  1.59170177e-01
  6.99705012e-01 -6.85591682e-01 -7.12732702e-01 -5.40744345e-02
 -1.68980941e-01 -9.82123988e-01  8.13716342e-03  1.03073022e-01
 -1.32253904e+00 -1.41489469e+00  2.85485435e-02 -8.54875460e-01
  1.05992825e+00 -2.63410739e-03 -3.97973058e-01 -1.16502589e-02
 -6.12168081e-01  4.26333043e-02 -6.64526442e-01  2.31850971e-01
  5.52781625e-01 -1.00932215e+00 -8.58646633e-01  2.38517186e-01
  3.83535940e-01  7.20922624e-01  3.71270104e-02 -7.47016095e-01
  8.64627181e-01 -1.81366769e-01  9.91170995e-02  4.09477041e-01
 -2.02691040e-02 -9.57611362e-01 -1.66078281e-01 -6.56888863e-01
 -1.34912771e+00  1.33270978e+00  1.21643194e+00 -7.68500355e-01
 -1.30288323e+00 -1.24231590e+00  3.58490017e-01  3.60756530e-01
 -1.22199346e-02 -9.43174244e-01 -4.91433398e-01 -1.96691446e-01
  2.60363326e-01 -6.73821050e-01  1.16896848e+00 -3.56680615e-01
  4.05363034e-04 -7.62291252e-01 -6.54412840e-02  4.31627923e-01
  8.94606104e-01 -3.05884054e-01  6.98409862e-01  4.63016274e-01
  1.22570750e+00  6.45841992e-01  4.66768401e-01 -3.17159481e-01
  2.61582291e-01 -5.78246568e-01  1.33331926e+00  5.36630338e-01
 -1.20349948e+00  1.21119420e-01  8.45714175e-01 -7.56044055e-01
  7.44044868e-01 -3.60661298e-01 -1.11771481e+00  1.49551780e-01
 -1.24722985e+00  5.54419610e-01 -1.90653760e-01  1.34602316e-01]"
bread_crust,"[ 1.64275021e-02  3.15983524e-01  8.42289697e-01  1.08367340e+00
 -1.25940482e+00  8.29434549e-01 -1.45480751e+00  6.78458722e-01
 -1.26988432e-01 -6.26416467e-01  1.83486695e+00  2.51485763e+00
 -9.66711540e-01  3.38208054e-01 -1.50700518e-01  6.20643862e-01
  3.63407696e-01 -6.31722823e-01  2.54483077e-01  9.92022193e-01
  2.75197849e-01  1.14763831e+00 -3.07901877e-01  1.16722076e+00
 -1.31426677e+00  1.71566265e+00  8.30677879e-01  2.69980302e-01
 -2.96933927e-01 -1.16875272e+00  1.59186247e+00 -2.23799461e+00
  5.20400353e-01 -2.29860696e-01  5.08455501e-01 -1.35784994e+00
 -6.70421480e-02  7.68933207e-02 -1.47496722e+00 -4.87940551e-01
  1.21251351e+00  6.48507783e-01 -1.34992371e+00 -9.07187100e-01
  5.71465706e-01 -2.34745208e-01 -1.28951118e-01  7.69332849e-02
  5.23286656e-02 -8.29767584e-01 -1.72210133e-03 -1.21797528e+00
  2.79482898e-01 -4.59010918e-01  1.29586104e-01 -2.05000750e+00
 -1.04666212e+00  3.32257830e-01 -3.73731778e-01  1.41901735e-01
  1.81583955e-01 -1.36428862e+00 -8.63936966e-02  4.96466244e-01
 -6.72641713e-01 -1.35003472e-01 -1.14741628e+00 -2.78061949e-01
  2.97488986e-01 -1.42887519e+00  5.54791758e-01  1.17179444e+00
  2.09201430e+00  3.26374214e-01 -3.17004831e-01 -1.23147429e-01
  1.18129703e+00  3.56147535e-01  1.15873947e+00 -1.54659193e-01
 -4.66137865e-01 -4.19335359e-01  1.02021915e+00  8.42001066e-01
 -1.34610491e+00  9.51547350e-01  1.71648414e-01  1.38074054e-01
 -1.00920679e+00 -5.23353263e-01  1.56561932e+00  4.66692923e-02
  1.18464959e+00 -6.63449949e-01 -1.09897080e+00  4.16604472e-01
 -7.77370091e-01  5.92136073e-01 -3.75996415e-01  5.22531777e-01]"
brick,"[ 1.43944326e+00 -9.43178592e-02 -9.17689959e-01  1.21429037e+00
  1.04957628e+00 -1.08196767e-01  1.37158598e+00  2.57127741e-01
 -9.58689962e-02 -1.38596672e-01 -3.63922137e-01 -4.10614932e-01
 -3.36053243e-01 -6.24402080e-01 -4.73850544e-04  4.04505595e-01
  7.34013119e-01 -3.99050829e-01  1.10039486e-01  1.42968419e-01
  1.02297686e+00 -1.07734599e+00 -2.61749415e-01  1.12205524e+00
 -1.03041517e+00 -6.73613985e-01  1.34006735e+00  2.01786663e-01
 -3.79711205e-01  8.92598037e-01 -5.12787654e-01  7.54205670e-01
  4.73156301e-02  1.41417282e-01 -5.15762981e-01 -1.02720182e+00
 -1.80945490e-01 -7.41372094e-02  7.66721878e-01 -7.29093912e-02
  5.27941985e-01 -7.40955548e-01 -2.31896970e-01 -6.08970052e-01
  1.27943019e+00 -8.84723338e-01 -4.68951173e-01 -1.01768077e+00
 -9.06998618e-01 -4.49790068e-01 -1.99842783e-01 -1.38933876e-01
 -8.12660923e-01  9.43456289e-02 -1.12120231e+00 -1.39400011e+00
  1.59017332e+00  4.91008262e-01 -5.61840875e-01  5.21773141e-01
  4.04287404e-01  1.44846842e+00  3.85086628e-01  3.59657502e-01
 -7.17390960e-01 -7.31930390e-01  1.03358886e-01 -2.50383667e-04
  2.83290781e-01  6.33704935e-01 -7.68467403e-02  2.65657011e-01
 -8.34599000e-01 -1.24134601e+00  2.81902295e-01 -1.48692948e+00
 -1.40740891e+00 -2.87595087e-01  6.73475136e-01 -1.14371562e+00
  6.76450463e-01  1.65394449e+00 -4.92337241e-01  1.71563293e+00
  1.39878047e+00  5.27426262e-01  1.62528218e+00  4.41697180e-01
 -6.15119060e-01 -1.40481046e+00 -6.00282097e-01 -5.96691870e-01
  1.83662956e+00 -3.09295137e-01 -2.00219657e+00 -8.04706883e-01
 -3.15662337e-01 -2.28604275e+00 -1.24479739e+00  4.31184358e-01]"
bright,"[ 0.09458535  0.1127179   0.08880629 -0.16530961  0.33124803  0.19002783
  0.27867878  0.20889212  0.32267676  0.50168169  0.03579912  0.05216127
 -0.6151669  -0.03072934 -0.1871645   0.16760589  0.17471556 -0.26166723
  0.13217545 -0.29219071  0.16373384  0.1200353  -0.33426108  0.38759763
 -0.19483747 -0.75165231 -0.14474978 -0.20007755 -0.05037029  0.1894851
  0.32636353 -0.13407685  0.53621009  0.32054329 -0.51631649  0.07854696
  0.23640255 -0.58685174 -0.51358417 -0.26301468  0.13457466  0.18731421
 -0.18974711  0.384229    0.73308745 -0.29357559  0.37462842  0.43883814
  0.34582669 -0.12665465 -0.94261587 -0.21224203 -0.61527918  0.28360072
  0.03354214  0.12284249 -0.23217306  0.3776789   0.36489684  0.61033853
 -0.42506421 -0.10464631  0.49747091  0.40193299 -0.46627371 -0.09937441
 -0.09369641 -0.02341942 -0.71450388 -0.68538399 -0.70097324 -0.02889344
  0.22070102 -0.16876807  0.09413433  0.23425037  0.2804941   0.25560371
  0.04813764 -0.22743827  0.05735644 -0.26511071  0.06518288 -0.13467946
  0.26640202  0.32258318  0.49301684  0.82020381 -0.48057165  0.10299194
  0.14757942  0.87928574  0.86414564 -0.36319382  0.3540611  -0.47123308
 -0.3449471   0.03904235 -0.10517219  0.06186104]"
brilliant,"[ 0.16508155 -0.43206951  0.49731011 -0.56071819 -0.24400388 -0.01823817
 -0.07853254  0.07553374  0.26453425  0.44638796  0.3517029   0.66670893
  0.29393212  0.62965488  0.30314128  0.17127793 -0.10856247 -0.66139775
 -0.80684966  0.59255424 -0.38252951 -0.45323659 -0.54588726  0.59955817
  0.61455994 -0.07048501  0.74139164  0.19542674 -0.06458524  0.04624923
 -1.55286917 -0.1268286  -0.39034099 -0.92006175  0.4670581   0.07087636
 -0.86693437 -0.37467144  0.01774588  0.54438087 -0.19169959  0.52423874
 -0.63217071  0.6688831  -1.1264991   0.18564298 -0.32162172  0.45864096
  0.15288757 -0.3000198  -1.34711513  0.55053066 -0.1174191   0.06966659
 -0.4621041  -0.54200481  0.99052035  1.09717887  0.92680167 -0.22462272
 -0.42781435 -0.30253562 -0.203906   -0.52627314 -0.32089182 -0.17213207
  0.35046052  1.17546449 -0.95267428 -0.45182338 -1.04145803 -0.15114823
  0.53869697  0.69986501 -1.08088814  1.40294469  0.67220648  0.09299697
 -0.50280765  0.62268201 -0.10074478  0.28021933 -0.72985302 -0.43630914
  0.74468395  0.33808328  1.50702527  1.13646921  0.30960167  0.79639812
 -0.17700842 -0.52928592  0.96050129 -1.10385668  0.94925773 -1.88081151
 -0.98735228  0.6190791   0.3776221   0.56127727]"
brine,"[-0.31698704  1.15956188  0.27430378  0.05652978 -0.23880736  1.02892192
  0.46283975 -0.7830554  -1.15673457 -0.86541221 -0.9377731   0.12937223
 -1.47490726 -0.29336533 -0.37550324  0.41025179 -0.37661592 -0.47289039
 -0.40879253 -0.95335067 -0.60460655  0.13593341  0.3673314  -0.80346676
 -0.05868401  0.930112   -0.50249506  0.97471054 -0.59404518  0.73446216
  0.56237931  0.67627429 -0.59413638 -0.26186362 -0.39274071  0.52688288
  0.93401551  0.42566519  0.48137232  0.15174081  0.66182765 -0.55869468
 -0.65730396  0.47208779  0.31866519 -0.43392823 -1.004224    0.57668002
 -0.23800477 -0.37294954 -1.58539124 -1.33582186  0.07408282  0.63242363
 -0.9280508  -0.16933762  0.43135629  0.71394136  0.81400989  0.74582612
  0.33037572 -0.36849881 -0.06603137  0.19094374  0.78739669  0.35490948
 -0.56923781 -0.92777719 -0.13743645 -0.65420304 -0.24125162 -0.22353989
  0.30370781 -1.01038936 -0.05097549 -0.7709983   0.71551006 -0.33203563
  0.42973287  0.07112965  1.48340743  0.35616809  0.07182644 -0.60110433
  0.08995223 -0.32101824 -0.93210024 -0.78978623 -0.51854688  0.8946703
 -0.75523832  0.3421957   1.80057689 -1.23060945 -0.83159393  0.12086476
 -1.33175418 -0.33851108 -0.89031077 -0.59597869]"
brioche,"[ 0.60244909  0.34520666 -0.00787478 -0.06294555 -0.85924939  1.46890142
 -0.10817298  0.29053067 -0.49829207 -1.50915312  0.78103031  2.34583577
  0.69358188  0.79751784  0.35929936  0.47607534  0.63065291 -1.00150276
 -0.95716142  1.80123123  0.79142022 -0.04468215  0.2023638   1.58481157
  0.17119406 -0.25276592  0.69910843  0.68991594 -0.79493879  0.3451514
 -0.7626269  -0.57514794 -1.54384142 -0.21829868  0.15787876 -0.1690866
  0.56263952 -0.47231729 -0.27778277  1.28822012  0.21210895 -1.50106594
 -0.66023837 -0.13502464  0.87873969  0.94100547  1.10547557  0.31563963
  0.0878187   0.34712253 -0.70218488 -0.59242762  0.26265845  0.98578894
  0.30248644 -0.69024753 -0.15494048  0.52382472  0.32532951  0.80584451
 -0.2535028  -1.22042778  0.59850682  0.74960267  0.47176463 -0.67886284
 -0.53670158 -0.3310587  -0.05521207 -0.30458653  0.3352773   0.56345008
 -0.09848863 -0.50685822 -1.13920594  0.32088985  1.20981681 -0.07793539
  0.2881911  -0.10884354 -0.08643891 -0.69446613  0.05796613 -0.52351155
  0.5310645  -0.32195831  1.57440324 -1.72041466 -0.0924868   0.21159313
 -0.74704203 -0.360681    1.10050167 -0.45037689 -0.73751795 -0.85237805
 -0.61372325 -0.32733749 -0.75466867  1.03978332]"
brisk,"[ 1.25743532  0.22008442  0.03967311 -0.93918348 -0.09104071  0.71835234
  0.61164308  0.18140027 -0.77903765  0.21420166 -0.10363128  0.86420107
 -0.7245265   0.62042169 -0.16171032  0.13015651 -0.74834895 -0.22866268
 -0.17714756 -0.07942454 -0.46998332  0.89232175 -0.68640695  0.14604543
  0.3503065   0.28854663  0.25947887  0.16598489 -0.19540597  0.49211197
  0.41270382  0.73279515  0.0602136  -1.10592238 -1.24505056  0.99669975
  0.30499286  0.18245661 -0.80411678  0.14035937 -0.03640572  0.75206437
 -0.59559754  0.0359158   0.00759823  0.01269838  0.85713447  0.01879023
  0.19808326 -0.06147939 -1.3747991  -0.65276776 -0.40048298 -0.06280711
 -0.59330272 -0.21474805 -0.88846062 -0.47118537  0.63761465 -0.40279601
  0.48737662 -0.60847404  0.53136072 -0.53363733  0.0531725  -0.01247874
  0.0742703   0.03908302  0.40099294 -0.26965987  0.02860879  0.25100989
  0.24620169 -0.1616229  -0.476886    0.70970122  0.69004952  0.75255612
  0.16457521 -0.20469454  0.46945515 -0.19422213 -0.48194918  0.3783179
  0.72383441  0.75969557  0.0108179   0.75018845  0.02279706 -0.14110245
  0.29177031  0.04309895  0.83007013 -0.41064576  0.48586495 -0.85667915
 -1.21356049  0.07246722  0.32296897  0.36666166]"
brown,"[ 0.16121009  0.27998687  0.44643386  0.92749854 -0.06169551  1.17304677
  1.1492549   0.53147346  0.20040518  0.58985771  0.11990103  1.20508316
 -1.35529095 -0.5922023  -0.3520351   0.14980806 -0.10519734 -1.31379932
 -0.4017136  -0.36764011  0.97833012 -1.00058455  0.15436849 -0.28457997
 -0.28244677 -0.44597263  1.48770289 -0.1033601   0.39725503 -0.24825797
  0.22390878  1.32867404  0.7345115   0.22461984 -0.10135951 -0.55543829
  0.12575483  0.50210837  0.16629902  0.74442798  0.3301266  -0.72834253
 -1.0755347  -0.24841171  1.01280719  0.46030925  0.48050735  0.09590929
 -1.21186711  0.07813073 -0.80167837 -0.28648255 -0.94312276  0.93093856
 -0.67483965 -0.98945733  0.57874971  0.45892555 -0.41918275  0.67626178
  0.32797418  0.70601123 -0.78713035  0.74223713  0.62762105 -0.38693497
 -0.11317281 -0.288462   -0.57252308  0.78451671 -0.76112842 -0.50935355
  0.23518974  0.28089011 -1.28059063 -1.0883531  -0.34632736 -1.18021508
 -0.26251772 -0.82400967  0.64291857 -0.56662316  1.12744249  0.69163617
 -0.03046628 -0.10071187  1.19518589  0.95793983 -0.86738467 -1.23268019
  0.88598768 -1.55567691  0.90753105  0.53339526 -0.91591009  0.4799116
 -1.33982047 -0.28861574  0.9952996   1.49404482]"
brown_butter,"[ 0.07768795  0.05929081 -0.34986254 -0.29040073 -1.20216371  0.86627743
 -1.02988862  2.50569522 -0.02696757  0.53023156  0.30173222  0.75777331
  0.83109738 -0.26226581 -1.13998873 -0.76518323  0.17351312 -1.2639055
 -0.55412572  0.64261165 -0.1150431  -0.63558931 -0.28896434 -0.15603482
  0.05269256 -0.9404679   1.55318904 -0.0304947   0.09581833  0.34769656
  0.74165387  0.09072714 -0.7485166  -1.0822141  -0.13632213 -0.5152749
 -0.7584801   1.26693787 -0.05084122  0.26860414 -0.52045045 -1.00843403
 -2.57044658 -1.80236778 -0.02295937 -1.62414194 -0.41351951 -0.65476393
 -2.28613339 -0.56463642 -0.59135775 -1.08707045  0.72592202 -0.21367493
  1.28663688 -0.35647447  0.52788318  2.34153685  0.45722668  0.38558979
  1.15143421 -0.62626421  0.11545578  1.23738936  1.12079132 -0.43732248
  1.00319008  0.59386573  0.90508265  1.03980652 -0.68137126  0.45284912
 -0.45672508  0.12351094  0.09330808 -0.95672414  0.65316794 -0.13672341
  2.12906575 -2.00296019  0.04618778  0.15515247  0.03566113 -0.19800008
  0.40975755  0.81397475  1.314521    0.26215181 -0.65478673  0.20216332
 -0.71313135 -1.14352269  1.70610713  0.50323662 -0.88757242  0.25348789
 -1.31078184 -0.33821186 -0.13693545 -0.38816616]"
