,word,vector
407,clove_cinnamon,"[ 0.04478187 -0.00818483 -0.04580359 -0.12402334 -0.04659486  0.06988973
 -0.03790121  0.04390098  0.01433414  0.16701527  0.11452563  0.04367564
  0.07134421  0.0487305  -0.17521213  0.03090021  0.0399754   0.06928796
 -0.18406966 -0.05836136  0.18474825 -0.09389647  0.02220989  0.14167438
 -0.09152269 -0.15913337 -0.04860246  0.04254124  0.04443617  0.0424721
 -0.12876836 -0.12489655  0.08871614  0.19940581  0.02084554 -0.11003157
  0.03376565 -0.10821858  0.20124441  0.0175458  -0.0286775  -0.02554062
 -0.10910203  0.03404221  0.13680645 -0.1798624   0.04636439 -0.08653184
 -0.01620987  0.01942588  0.03117164 -0.00721022 -0.01994212  0.06338038
  0.02622945 -0.15116697  0.05677628  0.02728959  0.03609078 -0.0060643
  0.07898284 -0.05015682  0.04662046  0.08813998  0.04940653 -0.08053464
  0.10531728 -0.03747101  0.11321198 -0.09631379  0.02638566 -0.05189555
  0.07863714 -0.06323954  0.02229055 -0.21560236  0.01729664 -0.07449134
  0.18527832  0.01574587  0.11828477 -0.04086397 -0.05423861 -0.09274415
  0.18100192 -0.09941482  0.1037322   0.21482903  0.01459201 -0.0497471
  0.04578311  0.00715235  0.18022858 -0.21976097 -0.22452135 -0.09465445
  0.19564667 -0.036416   -0.00771289  0.09033451]"
261,cloying,"[ 2.48037998e-01  2.16990092e-02 -2.08701608e-02  9.36467978e-02
 -1.22095459e-01  3.00713397e-02 -2.11369903e-01  6.52474582e-03
  8.99501488e-02 -4.75089682e-02 -2.01668357e-01  5.79182781e-02
 -1.02968568e-01  9.59328510e-02  1.56761100e-01  8.02806619e-02
 -7.15803432e-02  6.31044375e-03 -1.50142150e-01 -2.50356110e-02
 -6.15828682e-02 -1.27037477e-01  1.75439165e-01  5.04288031e-03
 -6.11463726e-02  1.16544320e-01 -2.16967897e-01  8.06111162e-02
  1.72090233e-02  1.08618350e-02  1.63683377e-01  1.74918823e-01
  3.69048383e-02 -1.84689419e-01 -4.38739711e-02 -1.39207565e-02
 -1.06278043e-01  4.73092160e-05  6.20834817e-02  3.44362955e-02
  9.49464203e-02  1.20951199e-02 -8.33090042e-02  1.33888238e-01
  1.02098043e-01 -7.22560483e-02  4.71020656e-02 -4.96100656e-02
  6.13313283e-02 -3.28481421e-02 -2.10760782e-01  5.09220184e-03
 -1.91229454e-02  3.69837528e-03 -1.26036250e-01  3.08284252e-02
 -1.43113831e-01 -1.15370468e-02 -1.01996934e-01 -2.39182316e-02
  4.70650744e-02 -5.68973224e-02  1.09774940e-01  1.64018763e-02
  6.21500658e-02 -5.39306321e-02 -1.41836403e-01 -1.81481053e-01
 -1.13688603e-01 -9.21597536e-02 -1.25116403e-02  1.50822787e-01
  4.26088738e-02 -5.11760244e-02  6.94891102e-02 -2.17838422e-02
  1.87103708e-01 -9.36714586e-02  6.80045320e-02 -3.50478825e-02
 -9.54716946e-02  8.85938066e-02 -2.30319236e-02 -1.07535742e-02
  1.19698432e-01  1.41868462e-01 -5.40021483e-02  3.28234813e-02
 -1.13158397e-01 -8.85987388e-02 -1.71214775e-02  1.85725171e-03
  2.72328854e-02 -1.00995706e-02  4.92179594e-02 -2.50306788e-01
  3.66582306e-02  2.31022068e-03 -2.23357502e-02  1.51222291e-01]"
508,coarse,"[ 0.019978    0.15259693 -0.06149749 -0.03094292 -0.04511796  0.06105888
 -0.117261   -0.10463483 -0.00629732  0.02159403 -0.11162526  0.05629807
 -0.11960028  0.04453314  0.00046991  0.04748008 -0.01583149 -0.17452312
  0.12936861  0.10363424 -0.06746905  0.11340941  0.03327992  0.12344273
 -0.02888235 -0.01180331 -0.01368159  0.03376651 -0.40921417 -0.12543935
  0.02673953  0.3056142  -0.0146952   0.02547623  0.0111904  -0.01887393
  0.00818725  0.00976787  0.06801047  0.06250037 -0.08945692  0.1847963
  0.01079838  0.04556114  0.1908661  -0.01821578  0.1070929   0.06544731
 -0.08657165 -0.07601291  0.00585163 -0.08193193  0.01404825  0.06361061
 -0.14005071  0.01837432 -0.05160352 -0.10884964  0.03971979  0.00126049
 -0.15742398 -0.04422474  0.03464374 -0.04021552 -0.09746393 -0.15669296
 -0.0861833   0.20334378  0.11035053  0.10732134  0.19314827 -0.03496356
  0.12548275 -0.07730362  0.15360894 -0.01687503 -0.13125328 -0.10420078
  0.09529141 -0.06262829  0.13238637  0.10672053 -0.02815589  0.0036766
 -0.03502981  0.03463003  0.0095216   0.04586269 -0.06327708 -0.03070534
  0.0269931   0.0055832   0.12682829  0.08276804 -0.11843293 -0.10681877
 -0.04238347  0.06357177 -0.10765716  0.02306841]"
111,cocoa,"[ 0.11991542  0.06998031  0.00512189 -0.06244016  0.02901565  0.14878839
 -0.07019685 -0.0508554   0.11510906 -0.0081538  -0.0083104   0.03275131
 -0.07673551  0.03487647 -0.09415905 -0.01171043 -0.10460312 -0.06875068
 -0.01273744  0.03563397  0.11568134  0.04066267 -0.07861474 -0.04726706
 -0.12497312 -0.17256886 -0.00229244  0.00367731 -0.10174947 -0.03314688
  0.05300144 -0.0360597  -0.07330184  0.0013551  -0.19293112 -0.12611768
 -0.04863976  0.10557367 -0.02378936  0.10718611 -0.14147251 -0.16261586
  0.02374683  0.05807847  0.10608795 -0.07782206  0.24298997  0.04457194
 -0.01585751 -0.01908392  0.19061108 -0.02574941 -0.01467235  0.09442972
 -0.05223583  0.05772273 -0.03809051  0.01557021 -0.00053597 -0.02707223
  0.02751458 -0.04861269 -0.00297503 -0.00094391 -0.00974922 -0.00745856
  0.04862816  0.16210932  0.05991131  0.15495971  0.00966338  0.08526941
  0.03576428 -0.07294997 -0.11188806 -0.07864181  0.20104742 -0.06730839
 -0.08742318 -0.10464566  0.29785905  0.03721701  0.13144218  0.01171894
  0.18896771  0.00352693  0.01567152  0.1474505   0.10563554 -0.23653638
 -0.00920517 -0.03353819  0.27915948 -0.05123821 -0.13613641 -0.07135687
 -0.16650194  0.12577354 -0.06391726 -0.0712718 ]"
175,coconut,"[ 0.03042395  0.02577526  0.0305579   0.01899107 -0.09009261  0.24598385
 -0.13586248  0.03074962  0.00680205 -0.01362328  0.04632666  0.11253763
  0.11292633  0.1092389  -0.19159946 -0.09098033  0.05896479  0.00881832
  0.07407696  0.072706   -0.03518557 -0.21892954 -0.0235804   0.00659982
 -0.10131512 -0.00395664  0.06067456 -0.0298908  -0.03627552  0.00067808
  0.08095807 -0.11027632 -0.1197339   0.06527072  0.09527708  0.03372793
  0.0226638   0.10813582  0.00465473  0.01840171 -0.08123384  0.07924567
 -0.0276505   0.12848762  0.04453022 -0.09230927 -0.04742186  0.13496164
 -0.02422413  0.05949007  0.04278631 -0.14203447 -0.03516981  0.02304856
 -0.0462006  -0.02822305 -0.04175677  0.14130171 -0.09984435  0.06526022
 -0.01224049  0.08808081 -0.06227403  0.00585104  0.0080073  -0.02346983
 -0.02090964 -0.19488243 -0.27301189 -0.06948343 -0.21065907  0.12982182
  0.00078061 -0.01771465 -0.30413446  0.01357443  0.22422956 -0.01636469
  0.02731957 -0.04465629  0.04492155  0.06104751  0.14096291  0.19160471
  0.03202342  0.08294887  0.0564566   0.12283303  0.00050807 -0.05752028
 -0.10421727 -0.1085219   0.08840648 -0.08737694 -0.19786599 -0.05856033
  0.02145855  0.11640103 -0.17832049  0.00988148]"
29,coffee,"[ 0.16107375  0.01168766  0.07893106 -0.02141446 -0.05024447  0.30385232
 -0.0819292   0.05354892  0.13281414 -0.05324261 -0.02116895 -0.0367556
 -0.06319776  0.1190533  -0.18890639  0.02890565  0.07141713  0.03438446
 -0.07584937 -0.00161979 -0.00414143 -0.00208209 -0.12203288  0.08500625
 -0.22099026 -0.12430238  0.15536057 -0.08009597 -0.02927044 -0.02677493
  0.03003297 -0.08306163 -0.04485662  0.06912443 -0.16417864 -0.09000471
  0.06991806  0.03386791  0.0385698   0.10307866 -0.11957311 -0.06238556
 -0.01142034  0.18351808  0.05994899 -0.14858457  0.15001403 -0.08561423
  0.01781762  0.00517157  0.17547042 -0.11882589 -0.08872376  0.06795023
 -0.11495986 -0.07787289 -0.02329643  0.00035858 -0.13447101  0.01055106
  0.05016093  0.00623067  0.02561048 -0.01560428 -0.02894789 -0.08778626
 -0.00666739  0.06963959 -0.00762439  0.01674181 -0.07951584 -0.00893874
  0.114208   -0.11641716 -0.04204505 -0.08014703  0.22991508 -0.11872843
 -0.09858609 -0.11429154  0.14785592  0.06424664  0.0197678   0.04810956
  0.10862477  0.15786676  0.05622683  0.11388777  0.11476493 -0.11680701
  0.04799354 -0.04542887  0.14361396 -0.13640171 -0.17598094 -0.06163835
 -0.04816062  0.18911988 -0.06079367 -0.08669097]"
49,cola,"[ 0.04968367  0.07428915  0.01507884 -0.14049257  0.09872462 -0.02697356
  0.04456271  0.04489858  0.09335902 -0.04649914 -0.0053117   0.02684668
 -0.01665203  0.18403938 -0.1020916   0.08272733  0.00980861  0.01663213
 -0.01164593  0.00709512  0.14900539 -0.02384584 -0.03038491  0.05216329
 -0.15784163 -0.10288773 -0.02583617 -0.12682977 -0.13892519 -0.04107589
  0.00770134 -0.06124003  0.09218141  0.08009014 -0.34238275 -0.07984135
 -0.02700217  0.01332569  0.09155943  0.15662256 -0.11508266  0.04469954
  0.03423786  0.17342428  0.03166287 -0.11650078  0.19864759 -0.09354976
  0.01046044  0.10367557  0.03322445 -0.13141997  0.02575904  0.09119039
 -0.15970757  0.01018594  0.14767435  0.07224076  0.0167756   0.05655031
 -0.07703415  0.00512593 -0.00090685 -0.01965536 -0.12940476  0.06737689
  0.05134228  0.1334808   0.02826147  0.02650915  0.00626499 -0.04042572
  0.18278713 -0.01745397 -0.10520564 -0.0089341   0.15748503 -0.05596565
  0.03151898 -0.01780767  0.10434316 -0.0084726   0.13366739  0.05106446
  0.14634332  0.07896228  0.14546426  0.26228432  0.09773775 -0.01649944
  0.0257039   0.08316686  0.21759306 -0.15963708 -0.17098197 -0.03892551
 -0.1139631   0.05812185  0.03835038 -0.03660138]"
22,complex,"[-0.0042841   0.04528846  0.16185182 -0.01269897  0.05519929 -0.02829355
 -0.04916441 -0.02501811  0.11337767  0.04388552 -0.04765869  0.05055587
 -0.04199685 -0.01132681  0.00168311 -0.00155617  0.06555046  0.02882206
 -0.12938442  0.01842446 -0.04055217 -0.01344191  0.08795886  0.07122691
 -0.00561958 -0.08139025  0.08052418  0.03060691 -0.0755312   0.11217246
 -0.02989787 -0.06662523  0.06260267 -0.21655025 -0.19201839  0.09290489
 -0.13233742 -0.12420883 -0.10615167  0.05299758  0.01368661  0.04267301
 -0.21367028  0.1208854  -0.03596458 -0.13680867  0.2164459  -0.03664074
  0.14642941  0.02704765  0.07945463 -0.13293741 -0.08599193  0.01683526
 -0.23962647  0.07693988 -0.03107751  0.03871776 -0.12053584 -0.02395482
  0.01082543  0.10321432  0.20772254  0.1859089   0.18162026  0.0072573
  0.06989127  0.12253407  0.00889189  0.08544933 -0.01369339 -0.06128269
 -0.016793   -0.03002153 -0.00944023  0.01448694  0.17541165 -0.05959227
  0.09859177  0.02762938  0.08941972 -0.17672641 -0.00076648 -0.02097729
  0.00719573 -0.09246663  0.15008154 -0.1202228   0.05648797 -0.02093608
 -0.03608406  0.03921289  0.20693472 -0.08130678 -0.2108738  -0.20206174
 -0.12782444  0.01826429 -0.10312041 -0.08543368]"
359,complicated,"[ 0.03234611  0.07026313  0.03690342 -0.07511268 -0.04166345 -0.03670333
 -0.01720088 -0.01166787 -0.05346085  0.01899959 -0.12836028  0.13694308
 -0.0671907  -0.11361682  0.14670799 -0.02086332 -0.18744208 -0.09128837
 -0.14925651  0.09838366 -0.05625684  0.03722725 -0.02753868 -0.07109245
 -0.00363426  0.06308886  0.16252036  0.01894956 -0.2301481  -0.01125611
  0.06154606  0.00936631 -0.11056018  0.03951775  0.05917921 -0.00431457
 -0.09625902 -0.11962741 -0.08696537  0.11243471  0.03139305 -0.09630378
 -0.34204835  0.16770953 -0.07601835 -0.13153539  0.12025401 -0.15105205
  0.09696197 -0.00830715  0.09269426  0.02722539 -0.01326201 -0.01357847
  0.0236501   0.02705426 -0.02182428 -0.06556366  0.06982083 -0.02742811
  0.06005855  0.10836709  0.08080208 -0.05852365  0.00566123  0.01983812
  0.04444101  0.06897835  0.04491228 -0.11065496  0.2178531   0.13756705
 -0.05071488 -0.03542644 -0.11995651  0.14036567  0.19553782  0.04207679
 -0.00973016 -0.04178456  0.11649179 -0.09688562 -0.05908443 -0.08721549
  0.09245205  0.13504486  0.08402195 -0.15782088  0.1365508  -0.09641435
  0.10415994  0.12693069  0.19382389  0.04552571 -0.10640042 -0.06292036
 -0.09790186  0.13650868 -0.02595955  0.00774032]"
388,compost,"[-1.05041071e-01  1.27383636e-01  1.04694158e-01  4.85632019e-02
 -1.64328704e-01  4.84552224e-02 -6.94675719e-02  1.09259163e-01
  1.32063513e-01 -1.78451043e-01 -3.56079603e-02  8.86948137e-03
 -2.97885550e-02  9.36986292e-02  1.03311101e-01  2.46836522e-02
 -4.21142990e-02 -7.54202285e-02 -2.57312830e-02 -1.18949748e-01
 -2.85548319e-02  3.02756114e-02  1.42964846e-01 -1.04554014e-01
 -8.63950802e-02 -5.64388124e-02  1.51146016e-01 -4.20844324e-03
  2.51798984e-04  1.15478322e-01 -9.59616037e-02  2.80999395e-02
 -3.70139912e-02  1.72682181e-02  1.11910404e-01 -3.12175602e-02
 -2.90533755e-02 -3.26075089e-02  1.13268189e-01  1.49891616e-02
  7.23807207e-02  8.42929263e-02  6.79811308e-02  7.56407824e-02
  1.93570469e-01 -2.77966780e-01  3.35333756e-02 -2.02574121e-02
  1.55019493e-02 -2.22979947e-02  5.35624226e-02 -1.29614446e-01
 -8.69901161e-02  7.47195106e-02 -1.50390160e-01  4.26702786e-02
  2.25373875e-01  3.30348320e-02 -1.92814613e-02  3.03422371e-02
  4.56638376e-02 -8.01391620e-03 -1.36185113e-01  1.13555368e-01
 -1.21667615e-01 -1.29791349e-01  1.95525587e-01  2.61976625e-02
  4.31182786e-02  4.84644121e-02 -9.45027318e-02 -5.33579508e-02
 -4.53766581e-02 -6.68645769e-02  1.39748436e-01 -2.04694654e-01
  7.34375413e-02  6.25476947e-02  2.56715497e-02  5.24182994e-02
  2.39232009e-02 -7.99209056e-02  1.10630732e-01 -7.12388950e-02
  8.69120033e-02  1.45691903e-01  9.07418291e-02  1.11101707e-01
 -8.50625674e-02  1.00917173e-01 -6.05397357e-02  6.02962074e-02
  2.07952418e-01 -6.24374178e-02 -1.26630077e-01  1.80132766e-01
 -1.30898713e-01  8.48029571e-02 -5.83709561e-02  1.63467165e-01]"
371,compote,"[-0.00746696  0.03047275 -0.13051939 -0.02558414 -0.03762172  0.24006708
 -0.16588763  0.13141301  0.24614908 -0.08214733  0.15889706 -0.01749464
  0.04760994 -0.0101541   0.01335081 -0.00441789  0.0695679   0.0661578
 -0.05805544 -0.11377671  0.12987084  0.05429865 -0.05162077  0.06385351
 -0.12036977  0.07033002  0.11718382  0.05734413 -0.08843255 -0.01979922
  0.12189998 -0.17923515 -0.03190733 -0.06240399 -0.0136446  -0.02618457
  0.02643861  0.09136148  0.0825777   0.09969098 -0.04818676 -0.05997717
 -0.06980401  0.05015332  0.11734222 -0.09779315  0.14737863 -0.03579264
 -0.03889191  0.1069834  -0.1150738   0.06423905 -0.11517243  0.1297752
 -0.0378638  -0.07924231  0.12671179  0.11877381 -0.14533735 -0.00026296
  0.01121    -0.07961889  0.01314429 -0.04645033  0.0141999   0.12134409
  0.10058759  0.11774569  0.14799131 -0.11452089  0.0728196  -0.12117672
 -0.01984106 -0.14412095 -0.08377019 -0.1707323   0.06740408  0.03085232
  0.13740235 -0.01854188  0.15657783  0.09229096 -0.04276228 -0.04535647
  0.06477104  0.24842348  0.03785185  0.03596299 -0.03040999 -0.16440822
  0.16998812  0.02143553  0.1735626  -0.02508593  0.00209896 -0.11656217
 -0.06933179  0.03402632 -0.06016247  0.16148528]"
39,concentrated,"[ 0.08226379 -0.04686503 -0.03766428  0.01536213  0.02044249  0.03625793
 -0.02175977  0.0915168   0.21096862  0.23350117  0.03687284 -0.05382212
 -0.17419657  0.06045122  0.05204458  0.06142719  0.12737688  0.18511886
 -0.0999805   0.01496321  0.10603896 -0.03150023 -0.04249931  0.02451221
 -0.08353841  0.00051002  0.11658259  0.11307871 -0.00613419 -0.07100552
  0.07863192 -0.09070616  0.07908523 -0.133302   -0.01748846  0.04629651
 -0.08779426 -0.02708172  0.0448699  -0.01657275  0.13392065 -0.07890391
  0.06054188  0.15173869  0.11178809 -0.14010177  0.11596394  0.06458441
  0.08501036  0.13505128  0.00902102  0.03683338 -0.20652078 -0.12643824
 -0.20385954 -0.09890854 -0.02136832  0.04143588 -0.0542541   0.1457549
 -0.05613137  0.03419134  0.14654421  0.07357609  0.07125617 -0.05758199
 -0.00504132  0.0611392  -0.08162915 -0.10929751 -0.07264813 -0.16800479
 -0.01361926 -0.02212136  0.07289345  0.09182612 -0.00803439 -0.0468069
 -0.09659929 -0.17013805  0.13845916 -0.00844344 -0.07505871  0.00861623
 -0.03452146  0.05339013  0.16816479  0.02481353 -0.16632485  0.08318109
 -0.05001638 -0.00214099  0.2297093  -0.04224386 -0.09242343 -0.22802936
  0.14355765  0.10132446 -0.05403011 -0.10720692]"
606,concrete,"[ 0.00662426  0.0501061   0.05186173  0.01835549  0.06716011 -0.03588929
 -0.11083315 -0.00747875 -0.10164233 -0.01308448  0.05618547  0.05408383
 -0.031563    0.05222311  0.02802866  0.04534922 -0.06472529  0.0554704
 -0.21719904  0.03402345  0.00295382  0.06732158 -0.11444437 -0.00276519
  0.01058328 -0.05907906  0.00960627 -0.00788831 -0.1182632  -0.10048387
 -0.0314451   0.01632946 -0.03365182  0.04168673 -0.00620342 -0.04795576
  0.25204776 -0.06821862 -0.04911423 -0.05434013 -0.05734393 -0.01030058
 -0.14206039 -0.18959839  0.08398089 -0.16385591 -0.03885465  0.20413557
 -0.06267747 -0.10291869 -0.07909331 -0.0395364  -0.10186531  0.11758145
  0.03304439 -0.15140499  0.00367043  0.09291029  0.05779757 -0.01059507
 -0.18445707 -0.09060361  0.09480176  0.15750742  0.176253    0.03682734
 -0.03912889 -0.04834021 -0.0964395  -0.1685974  -0.11716881  0.10547397
 -0.16076752 -0.10895962  0.15455488 -0.03806782 -0.14666349  0.14731705
  0.05275365 -0.05316885  0.08771514 -0.1734568  -0.00162439  0.0120739
  0.02825933  0.20756226  0.21783978  0.07016135 -0.06462021  0.17121932
 -0.03102221  0.01080421  0.06095516 -0.03483335  0.09562704 -0.03076591
 -0.21853178  0.06397434 -0.1737823   0.01308705]"
235,cooked,"[-0.02410022  0.06264954  0.05494985 -0.03603221  0.02133568  0.09104065
 -0.05408693  0.16428493 -0.05611373 -0.09247619 -0.18122371  0.10879176
  0.12809558  0.00078201  0.07022672  0.11377485 -0.06791228 -0.07403528
 -0.10518561 -0.11209429  0.05216667 -0.22981353  0.01557383  0.10732692
  0.02740834 -0.0523025   0.03648764 -0.18205734 -0.07486891 -0.07266899
  0.10273534 -0.04022696  0.18467006 -0.06951827 -0.12029735 -0.14070379
  0.00786695 -0.003351   -0.04121771 -0.01407278  0.0275495  -0.01734947
  0.02687568  0.00467788  0.15401246 -0.16527036  0.0210238  -0.02364159
 -0.06382141  0.01774951 -0.14893349  0.01162331 -0.14906665 -0.03548356
 -0.01816525 -0.31142333  0.00288412  0.02497566 -0.12718472  0.08857441
  0.17660017 -0.03424245 -0.16045239 -0.06918802  0.0036754   0.04233099
 -0.01053161  0.15927254 -0.05602584 -0.14682146  0.17723404  0.11431817
  0.02326313 -0.16881259  0.0476976  -0.05615368  0.17322573 -0.15149295
  0.04942078 -0.11460847 -0.04583593  0.08114105  0.14622754  0.1321838
  0.12817814  0.05490457 -0.05394311  0.04622744 -0.09682275 -0.02919011
  0.12149851 -0.13575     0.05863057  0.00517965 -0.02535039 -0.07311111
 -0.05244632 -0.07057562  0.05602584  0.02283913]"
480,cookie,"[-0.01154581 -0.02473157 -0.02689793  0.05945485 -0.01724545  0.09901533
 -0.17444275 -0.0502644   0.01241395  0.02973313  0.05546456  0.12368755
 -0.13087829  0.08575013  0.11968128 -0.12709345  0.03892586  0.01727763
  0.04059229  0.1287165   0.23094826  0.02413577  0.00869897  0.02281404
  0.09441325  0.09178122  0.02239607 -0.01480836  0.05109762  0.10063153
  0.05196964  0.07767139 -0.01658618 -0.03207526 -0.20712979 -0.00658535
  0.02442112  0.09470773 -0.08551043 -0.04791086  0.09457533 -0.1294858
 -0.11812899  0.09158718 -0.03766806  0.0443543   0.05851891  0.08463613
 -0.06405692 -0.13891594 -0.05013885 -0.08772929 -0.21213591 -0.02343268
  0.13980393 -0.07147366  0.13010899 -0.03735532  0.11996434 -0.03057776
  0.02307428 -0.11599232 -0.05975161  0.03052982 -0.02363584  0.01263401
  0.05117751  0.04686079 -0.062338    0.00682915  0.23676933  0.08241499
  0.08066182 -0.0910804   0.0133734   0.05013885  0.31059424 -0.04565092
  0.11197464 -0.0803331   0.12691767  0.04644076  0.10022063  0.05548054
  0.05840021  0.04175422  0.08441699 -0.00613153  0.05084194 -0.15566237
 -0.06718889 -0.0911603   0.26391151 -0.07798869 -0.27201536  0.08089695
 -0.1041744   0.09547703 -0.04546145  0.11436927]"
405,corn,"[ 0.21679542  0.08700499  0.1392761  -0.04490819 -0.08964359  0.06301314
 -0.1347295   0.16725424 -0.06413869  0.08095519 -0.17493065  0.24680991
  0.05117519  0.11564957  0.07911878  0.00424991 -0.03089814 -0.06970963
 -0.12641134 -0.04686555  0.03946806 -0.10205666  0.10894567 -0.06649838
  0.19918906  0.09702874 -0.02513466 -0.01079016 -0.00428595 -0.11749832
  0.10083485  0.10559866 -0.04795653  0.02009391  0.12147722 -0.07775134
  0.05171081 -0.04796147 -0.07856835 -0.1382641   0.10897776  0.04095151
 -0.02691184 -0.17488128  0.12131431 -0.11589887  0.0259023   0.05717069
 -0.05072596  0.13581802  0.01671086 -0.16147103  0.05019034 -0.08928569
 -0.08398379  0.06775968  0.05649437  0.04084784 -0.00734047  0.06563201
  0.15004528 -0.15395753 -0.03847087  0.00848156  0.00909666 -0.01993767
 -0.03050568  0.12913634  0.07615435 -0.0472432   0.02471505  0.02069938
  0.10143465  0.04736908  0.06460273 -0.13395199  0.11103879 -0.05110361
 -0.04798615 -0.05453208  0.05748416 -0.02066606 -0.06840884  0.12572515
 -0.07812899  0.0555737   0.10803734 -0.09113445 -0.10699819  0.06413869
  0.12602135  0.03385516  0.27583214 -0.05719043 -0.16903882  0.14818665
 -0.18628481  0.10564803 -0.05672146  0.00146308]"
433,cotton_candy,"[ 0.12925591  0.08224759 -0.24744918  0.04349436  0.04273587 -0.05083021
 -0.27584165  0.00799449  0.05659927  0.08670118 -0.06835702 -0.02036401
 -0.08661967 -0.01834507  0.04358946 -0.03290039  0.0321736  -0.09532533
 -0.05982795  0.11354949  0.07124155  0.10762873  0.20222501 -0.05147776
 -0.11008987 -0.04948304  0.1145276   0.04897361 -0.07601891  0.01523231
 -0.13629063  0.12002497  0.11763176  0.104271   -0.03795625 -0.15303404
  0.06014946 -0.0008131   0.06912683  0.29904921  0.05692078 -0.04016832
 -0.09336005  0.0602038   0.1124876   0.00814461 -0.03095549 -0.1547231
  0.03713436 -0.15390574 -0.04499549 -0.1538831  -0.05703173  0.0095828
  0.09787703 -0.03719775  0.12429516  0.18749443 -0.14791479  0.18792009
 -0.01432891 -0.01950182  0.10382043 -0.01188159 -0.03002039  0.09561288
  0.14378951 -0.03082417  0.13536912 -0.11541289  0.07881966 -0.00633555
  0.17256914 -0.02454567  0.12448082  0.077674    0.03040303  0.0030557
  0.17451858 -0.02582265 -0.02114175 -0.03702568  0.01311103 -0.10654647
  0.04404002  0.16406725 -0.04014794  0.05517739 -0.06594569  0.06557664
 -0.0050477  -0.00726363  0.18047783 -0.02538114 -0.08836306  0.02476982
  0.00041045  0.08824986  0.02167337  0.06881437]"
453,cracker,"[ 0.00435596  0.00849924 -0.14347457  0.07104539 -0.0031312   0.07785276
 -0.2071192   0.0779026   0.06630064 -0.17398193 -0.1358768   0.10097123
 -0.23177574 -0.12332542  0.03550133 -0.13039863 -0.00228071 -0.06253855
  0.05962382 -0.11686221  0.12421313  0.02495086 -0.10352281 -0.13301904
  0.13692117 -0.00263085  0.10076711  0.01092906 -0.03436202 -0.05823054
 -0.06348798  0.11574901 -0.07917721  0.14706101 -0.04889533 -0.06944561
  0.00609578  0.17632701 -0.03846354 -0.01620619  0.13344628  0.06085807
 -0.1345666   0.17699635  0.09407367  0.04072316  0.03034596 -0.15049081
 -0.07792397 -0.00656171 -0.05644325 -0.1319177   0.05324132 -0.09680563
  0.07307004 -0.08978939  0.00687715 -0.10473807 -0.05272388  0.04450662
  0.12184906 -0.16762554  0.07234847  0.01583639  0.03276462  0.07613905
  0.05363296  0.01895074 -0.09022613  0.12498691 -0.10792814  0.11471652
 -0.01725056  0.01936398  0.10661556  0.00903187  0.17299216 -0.11487554
  0.01494013 -0.08904884  0.04480569 -0.11591042  0.2707757  -0.00525815
  0.00192173  0.11896756  0.10596283  0.05325793  0.08792615  0.16814535
  0.0822391  -0.14699693  0.06520406 -0.14078295  0.10060808 -0.04685882
 -0.1047262  -0.04072791 -0.09969663 -0.01284452]"
119,cranberry,"[ 8.71192062e-02 -8.86997991e-02 -1.17055343e-02 -1.65896394e-01
  3.12412232e-02  8.35994600e-02  1.08530386e-01  1.89671146e-02
  1.21328798e-03 -1.91390772e-02  1.09939016e-01  1.94654404e-02
 -1.47214665e-01 -5.34986785e-02 -1.62351037e-01  9.68039964e-03
 -2.68067821e-02 -8.31457713e-02 -3.24134963e-02 -1.47419556e-01
  3.59680009e-02  1.31964870e-01 -4.00343688e-02 -5.35133136e-02
 -1.10231718e-01 -2.28776184e-01 -3.82635193e-02 -2.27319990e-02
 -3.90684509e-02 -3.65219401e-03 -2.99127203e-02  6.36737452e-03
  1.15716229e-01  1.32872248e-01 -7.03839473e-02  5.86575580e-03
  8.63801327e-02 -1.24043612e-01 -3.88745356e-02  1.35206549e-01
 -2.34044827e-02 -1.82624336e-01  8.26737887e-02  3.46025442e-02
  2.16457073e-02 -1.18087119e-01  1.95898389e-01 -8.35116493e-02
 -1.06880276e-01  5.44097147e-03 -1.86875838e-01  3.31598874e-02
 -7.28975291e-02  9.03242973e-02 -2.68130020e-02 -1.20864132e-02
  8.59154677e-02  3.90501570e-02 -2.06333229e-02  3.47218205e-02
 -2.03698908e-05 -1.22042260e-01  2.69692319e-02 -5.94002903e-02
 -2.97586856e-02  1.99227879e-02  7.41561493e-02  2.68188561e-03
 -3.59208026e-02  3.72280846e-02 -1.57254357e-01 -4.34992332e-02
 -2.44022320e-02 -7.33036536e-02  7.66660723e-02 -1.25320526e-01
  1.90110199e-02 -5.12229174e-02  1.22836215e-01 -2.68591026e-02
  1.87402702e-01 -2.54779133e-02  2.05217301e-01  1.94372678e-01
  6.62714788e-02  1.46054832e-01  1.26286444e-01  1.45429180e-01
 -1.51473484e-01 -1.35740731e-01 -3.62786313e-03 -4.33382469e-02
  2.91901113e-01 -6.30700465e-02 -1.29535441e-01 -9.21390521e-02
 -2.05663672e-01 -1.26879166e-01 -3.89111234e-02 -3.65351117e-03]"
