,word,vector
108,anise,"[ 0.06978515 -0.03957403  0.07511585  0.06173214  0.00029651  0.12843049
  0.0082102   0.0939176   0.10664067 -0.04210269 -0.03988536  0.07734837
 -0.01256133 -0.01529084 -0.00932987  0.03654038 -0.07374521  0.02097769
 -0.00969019  0.05153774  0.07642195 -0.04002964 -0.00731643  0.10675457
 -0.0385375  -0.15134037  0.01351394 -0.00586188 -0.05068346 -0.02309516
 -0.01229593  0.01898969  0.05022404 -0.10963634 -0.24953316  0.05096062
  0.10211109 -0.01070811 -0.12947461  0.07303141 -0.16876388 -0.07181264
 -0.16193723  0.13094397  0.1798847  -0.17115206  0.15536118 -0.27297839
  0.01542297  0.01837081  0.17633089 -0.03681034  0.1056573  -0.03294064
 -0.14878133 -0.01396538  0.04467692  0.10716083  0.03155709  0.10144285
 -0.12933413 -0.06368749  0.09172684 -0.00273237  0.05895288 -0.1018529
  0.16684649  0.05352726  0.12184684  0.04917993 -0.03297443  0.04263425
  0.08681758 -0.06552894 -0.17290618 -0.08741368  0.12226449 -0.13668853
 -0.05563828 -0.09836744  0.21002368 -0.03393958  0.0299723   0.06761718
  0.11069944  0.07974795  0.13021499  0.08273603  0.05983374 -0.0884578
  0.07641056 -0.11000463  0.20092276 -0.12348326 -0.14949133 -0.05913513
 -0.06609086  0.19137761  0.04570585  0.04460478]"
21,apple,"[ 0.04080162  0.00629139  0.03108356 -0.0029258   0.06958568 -0.01446792
 -0.2938      0.2063919  -0.10926712 -0.11856476  0.01642662  0.26419373
 -0.03312513 -0.07398542 -0.03278014 -0.02539649 -0.01829546 -0.0542448
 -0.19147935  0.11489133  0.09988101  0.07311944 -0.03260182 -0.03431748
 -0.08837186 -0.10006725  0.13070245  0.02624897 -0.03912507  0.00499661
  0.10818232  0.05146528 -0.07581049  0.0900852  -0.08594619  0.01465089
  0.23924326 -0.13963694 -0.05349521  0.05714071  0.15475435  0.01510669
 -0.02278691 -0.08570874  0.03692241 -0.09184044  0.01180852  0.12170743
  0.04897443  0.01647038 -0.03906641 -0.17839653 -0.02481265  0.00796888
 -0.1112598   0.00868122 -0.04642165  0.16644042 -0.01369924  0.02773697
  0.00094112 -0.20201544  0.1728375   0.02508269  0.01324623  0.05967813
 -0.11405329 -0.02056283  0.02070623 -0.11707025 -0.08662128  0.12116736
  0.1957301   0.07057271 -0.09840047 -0.04518367  0.07242572 -0.02272266
 -0.01797234 -0.11909553  0.12553916 -0.03790339 -0.05160496  0.02437594
  0.01996736  0.07053081  0.0782222   0.07835256 -0.13119597  0.103601
 -0.03213438  0.15001939  0.28270522 -0.0097162  -0.00119054 -0.02943168
 -0.15445638 -0.03547492 -0.00250971  0.00658983]"
525,apple_sauce,"[ 0.04435373  0.03251969  0.04076922  0.02853145 -0.09671195  0.004844
 -0.1580548   0.07615699 -0.10150064 -0.03549745 -0.20021255  0.17454218
 -0.17730758  0.25493011  0.0776062   0.06871725 -0.15998008  0.0563698
  0.03194561  0.12828184 -0.01898744 -0.01057689 -0.06615954 -0.06208262
  0.03709368  0.00493104  0.04117294  0.09976439  0.04587995 -0.17011988
  0.08925588  0.12489335 -0.12311276  0.00208453 -0.04673408  0.02008263
  0.0771558   0.05250524  0.05054963  0.09200494  0.16524017  0.08778566
  0.0582274  -0.039278   -0.00044946 -0.06769277  0.11406979  0.08669351
  0.03576816 -0.00715643  0.01012906 -0.13020712 -0.04864535  0.03188493
 -0.02611843 -0.04133163 -0.03263404  0.17849542 -0.04246813  0.11474889
  0.03431895 -0.01690441 -0.01318197  0.16071752  0.06048406 -0.17699954
 -0.09525341 -0.15982606 -0.00173819 -0.25936409  0.06435328  0.02196917
  0.07610331 -0.08282662 -0.06346882  0.11845009  0.05249591 -0.12977306
 -0.0286528   0.14750895 -0.13759085 -0.02638681 -0.01588296 -0.1497096
  0.06666595  0.01061213 -0.04879937  0.0175366  -0.1920307   0.11645713
  0.0720544   0.03540878  0.21526939  0.14325933  0.03339482 -0.12751173
 -0.09409824  0.10182502 -0.12188525  0.03549979]"
67,apricot,"[ 0.07637474 -0.02539329  0.04797158 -0.07393876 -0.06655026 -0.05325401
 -0.21181917  0.19629794  0.03304496 -0.10683027 -0.05338828  0.2389257
  0.12486037  0.05401358  0.05611198 -0.00155512  0.03246032  0.06969977
 -0.10940819  0.02126478  0.20914534  0.00587513 -0.00920456 -0.00038211
 -0.09999801 -0.07975826  0.06002106  0.09166964 -0.10199667  0.14554895
  0.11798208 -0.03235214  0.03420464 -0.04888459 -0.10934681 -0.02866633
  0.08207916 -0.019372   -0.01095156 -0.05177708  0.28508276  0.03041985
 -0.00288344 -0.03262566 -0.02726113 -0.02380357  0.09211847 -0.02121568
  0.00971324  0.05698663 -0.0117165  -0.21146624 -0.03599691  0.04052169
 -0.0278661  -0.01443137 -0.09439717  0.27309082 -0.06669219  0.00466634
  0.14302474 -0.23823135  0.11497067  0.08358678  0.02264619 -0.02384692
 -0.02680692  0.07635556  0.03536892 -0.06109903 -0.08107408  0.00248835
  0.25557477  0.07810487 -0.04978993  0.01653437  0.04896132  0.05150855
 -0.07563052 -0.05442789  0.03333382  0.06129851 -0.03696708 -0.04775292
  0.00913512  0.0586055   0.15739128  0.16085152 -0.15672762  0.07707677
 -0.11085827  0.02832414  0.14380732 -0.07870331 -0.00948959 -0.14111815
 -0.00495061  0.02543127  0.14238793  0.15942062]"
413,ash,"[ 0.12634343  0.05756717  0.00431761  0.10339265 -0.06334427  0.02949689
  0.01231043  0.0613769  -0.01177865  0.1410253  -0.01129115  0.03265446
 -0.16915536  0.11237079  0.12770482 -0.15336481  0.14839205 -0.0859119
 -0.00397277  0.0185666   0.06688226  0.02496706 -0.18540786  0.0331463
 -0.12086796  0.10828932  0.16464998  0.02347279 -0.03864351  0.04859446
  0.08594994 -0.06399371  0.03036373 -0.01112186 -0.00376979 -0.09896879
  0.12577278 -0.08171359  0.10480295  0.04914337 -0.00840804 -0.0291382
 -0.04838251 -0.0274317   0.11403109 -0.07959405 -0.13447104 -0.17245423
 -0.02079456 -0.25377108 -0.08078153 -0.22835294 -0.04398583  0.0887461
 -0.12617767  0.01678239  0.07964296 -0.05214061 -0.02210161  0.01812204
  0.09543079 -0.04734991  0.19606261 -0.00382196 -0.03135284  0.0766892
  0.13351724  0.03789895 -0.16982111 -0.11114798 -0.21079882  0.1113871
  0.04189075 -0.03416259  0.07604518 -0.11646584 -0.07251806 -0.01694488
  0.08972435 -0.15124255 -0.00771077  0.03167621  0.0532656  -0.02291192
  0.08601516 -0.10988712  0.10022693  0.09580307  0.06753986  0.08471355
  0.24307285  0.07209687  0.13248737 -0.14898443 -0.15645172 -0.07151263
  0.06845561  0.04701296 -0.07016211  0.09448787]"
260,asian_spice,"[ 1.39535923e-02  2.85134821e-02  1.51139770e-01  5.69340241e-03
  9.23141410e-02  1.52296054e-01  4.60299612e-02  1.15806123e-01
  1.23621294e-01 -2.42516309e-02 -1.14275345e-01 -3.56261348e-02
  7.03802727e-02  2.73544642e-02  1.46689578e-01 -4.19870660e-02
 -4.17410480e-02 -6.66517337e-02  7.66892667e-02  9.79998895e-02
 -1.22910575e-03  6.25787696e-03 -4.60545630e-02 -1.07127156e-01
 -5.30086708e-03 -1.47230818e-01 -4.44472456e-02 -4.43160361e-03
  5.73303864e-03  1.11927240e-01 -4.74623325e-02 -1.38494447e-01
 -7.91767817e-02 -1.27325231e-01 -2.51545168e-01  4.26677157e-02
 -1.35137668e-02 -2.03861420e-02 -4.33757007e-02 -7.27065092e-02
 -1.04636907e-07  1.05653782e-03 -1.32322129e-01  7.00577158e-02
  5.49166768e-02 -3.03394821e-02  2.13002354e-01 -8.16451619e-02
 -8.64425122e-02  1.69230291e-02 -1.10760021e-01 -2.39134929e-01
 -1.42736890e-01  2.50629435e-02 -1.38002411e-03  4.95070151e-02
 -1.23804440e-02  9.17236979e-02 -6.26033714e-02  1.13939120e-01
  6.24830960e-02  4.33784343e-02  1.78445030e-01 -2.35316183e-02
 -1.86399611e-02  4.00544582e-02  1.75296001e-01  4.42012277e-02
  1.81006351e-01  1.14936860e-01  4.39907456e-02 -5.74479283e-02
  2.25994836e-01  7.50190781e-02 -1.90967345e-01 -7.55329823e-03
  6.92950601e-02 -7.07848355e-02  1.69580183e-01  4.75935421e-02
  9.36289703e-02 -8.54338386e-02 -1.51615405e-02  1.72961563e-01
  2.02210366e-01  1.16134147e-01 -4.16918444e-02  2.15511737e-02
  1.42206584e-02 -4.82577906e-02 -1.12821105e-01 -1.36742252e-01
  1.69667656e-01 -8.94220631e-04 -1.83589539e-01 -6.29614643e-03
 -7.16951020e-02  9.52936919e-02 -6.89643026e-02 -2.18010186e-02]"
339,asparagus,"[-0.0099497   0.06059031  0.1102728   0.06354545 -0.19833624  0.01046556
 -0.11412946  0.02957595  0.02844177 -0.03876125 -0.13180434  0.12716248
 -0.01256927 -0.03473233  0.05075627 -0.07806162  0.11274697 -0.06516059
 -0.04525538 -0.10573831 -0.04504063 -0.03733849  0.07437497 -0.00118214
 -0.06324568  0.02348672  0.10222839 -0.01036288  0.09998911  0.12691416
 -0.0736703   0.02709059 -0.0339516  -0.09520408 -0.07458302 -0.03289124
  0.10246328 -0.17294133 -0.12265931  0.07306406  0.14888416  0.12554286
 -0.02733667  0.05023728  0.14189788 -0.37105833 -0.19691795  0.03239909
 -0.17479807  0.07717575 -0.04886149  0.20658869 -0.03774339  0.1749144
  0.02726061 -0.15628878  0.06433512 -0.0606619   0.05457938  0.05859263
 -0.01669214 -0.11727698  0.07833454  0.17651836  0.15110107  0.03644591
 -0.02921131  0.00748448  0.01572507 -0.16624809  0.03142151  0.08393386
  0.05734884  0.07988257 -0.06608002  0.13223162  0.13323829 -0.09670737
  0.0235762  -0.14106794  0.06246272 -0.0686034   0.07180013  0.13907026
 -0.04722622  0.03423794 -0.11605108 -0.06567735 -0.05374272 -0.06452751
 -0.05026188 -0.03335879  0.00871731 -0.05524602  0.03226935  0.03485537
 -0.2363436   0.01165097 -0.0655476   0.05229088]"
343,asphalt,"[ 0.05496556 -0.06751767 -0.0228814   0.04281143 -0.02699593  0.0374202
 -0.15478283 -0.04646483  0.05195688 -0.04637728  0.11157078 -0.10268003
 -0.00417767  0.08431484 -0.13045068  0.03421518 -0.04818939  0.0704335
  0.00509089  0.00444272 -0.10717714  0.0271843   0.10925722  0.03778368
 -0.19021846  0.0151798  -0.00249413 -0.19340226 -0.06934835 -0.09949358
 -0.08370727 -0.09553506  0.09109898 -0.00708607 -0.11861227  0.04160424
 -0.01067394  0.12084623  0.14304524  0.10740266  0.07628107  0.05242383
 -0.01368899 -0.06752563  0.10976663 -0.09299068 -0.19865021 -0.13050374
 -0.05778587 -0.00793826  0.10276759 -0.15215885 -0.1782925   0.06608496
 -0.22886443 -0.0856255   0.04384881  0.06408979 -0.0057571   0.17799269
  0.15021674 -0.12734383  0.10513421 -0.01306152 -0.01736176  0.06556494
  0.17948642  0.06038332 -0.0601127  -0.15059349  0.00169312  0.06254565
  0.13054354  0.03827452  0.12166341 -0.03176366  0.03166549 -0.12961493
  0.10134284 -0.05472412  0.13255729 -0.10416845 -0.0919533   0.1543822
  0.00291981  0.01221489  0.0705582   0.05087439  0.06124294  0.02669081
  0.08803458 -0.03749184  0.27799834 -0.1579454  -0.15957179  0.12928859
 -0.07205193  0.1148209  -0.07071473 -0.05553334]"
249,assertive,"[ 0.05187829  0.02630223 -0.02020567  0.14077622 -0.09719054  0.05634959
  0.11829275  0.10150696  0.00820171 -0.02212394 -0.18445585  0.08781629
 -0.02021481 -0.05354392 -0.04891265  0.03962473 -0.05061383 -0.12511523
 -0.02505859 -0.08296413  0.06158007  0.07035256  0.15616807  0.03125596
  0.24685097 -0.1740482   0.01588341 -0.14121548 -0.20174438  0.00395714
 -0.16955912 -0.02477168 -0.00028849 -0.10067668  0.06050351  0.16205363
  0.04360346 -0.00342241  0.0058523   0.05136032  0.07809165 -0.02861786
 -0.03542003  0.09750284  0.19961918 -0.0121982   0.06120937 -0.00224726
 -0.07845728 -0.09688839 -0.12972619 -0.02009674 -0.12721251  0.12743341
  0.0941792  -0.02552527 -0.17082104  0.04719624 -0.06121699  0.19722229
 -0.13191994  0.17352515  0.26926842 -0.05246481  0.03796164 -0.01037363
  0.01411672  0.15968214 -0.07528852  0.0244901  -0.05178688  0.07878736
 -0.03638996 -0.14913992  0.0334751  -0.1589128  -0.06435782  0.07631684
  0.05557263  0.03963743  0.06741486  0.05480076 -0.08246647  0.03188819
  0.0153403   0.17728297  0.07898032  0.08665593  0.04641167 -0.06605138
  0.01527251 -0.10095598  0.03458722  0.00977136 -0.00031192 -0.16745169
 -0.13194279  0.18492558  0.06816642 -0.02680751]"
110,astringent,"[ 0.16411651  0.14219512 -0.04586872 -0.05279095 -0.06041734  0.04018175
  0.01594291 -0.02388676  0.02969249 -0.02423795 -0.1770569   0.13910996
 -0.33832396  0.03078005 -0.05482883  0.09020978  0.02035643 -0.06558216
  0.03523176 -0.21851867 -0.05495415  0.18622289 -0.08684713 -0.12758683
 -0.04091873  0.05146021  0.0003778  -0.0708335  -0.09787794  0.01818189
  0.0924595  -0.06906117  0.03624026 -0.18480562  0.0412171   0.02417857
  0.09396031  0.04071584  0.02459122  0.03418746 -0.07069625  0.19650479
 -0.0697713   0.10915043  0.11393035 -0.00219551  0.1709552  -0.10147034
 -0.08152417 -0.02710202  0.04620588  0.06794825 -0.08005021 -0.07733503
  0.00465609 -0.09544919 -0.1081121   0.01472376  0.07513901  0.00074211
  0.08302498  0.09316366  0.07185095 -0.1469094   0.10176572 -0.06071273
 -0.08720219  0.00952075  0.05781255  0.04583888 -0.15949175  0.0047829
  0.10757801 -0.01417774  0.09931311 -0.16213532  0.15794021 -0.14940379
 -0.12354986 -0.03349524  0.05060388  0.0563565   0.0798503   0.14516989
 -0.10642629 -0.00158197 -0.02040148  0.19388807  0.02389124 -0.05922385
  0.01767466 -0.17665709  0.14647079 -0.12036325 -0.05238516 -0.09783318
  0.05994889  0.07126316  0.02693404 -0.13006034]"
